algorithm,threads,graph,k,seed,epsilon,imbalance,objective,km1,cut,initial_km1,judiciousLoad,initialJudiciousLoad,minLoad,maxHnDegree,maxBlockTime,partitionTime,judiciousTime,fmTime,lpTime,coarseningTime,ipTime,preprocessingTime
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,256,9,0.03,0.304,km1,492397,54439,489538,2658,2753,2627,142,0.0023325,2.65041,0.120563,0,0,0.2194,1.91033,0.138187
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,256,9,0.03,0.243902,km1,443272,50911,442923,2386,2456,2349,142,0.000598982,2.19508,0.0304352,0,0,0.111645,1.76763,0.0972803
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,256,9,0.03,0.26087,km1,333706,38487,333731,1707,1738,1669,142,0.000260551,1.82637,0.0109663,0,0,0.00531017,1.66429,0.0687808
Judicious-Increase,16,0-part_59-s.repeats.hgr,256,89,0.03,0,km1,0,0,0,57,57,57,57,0,3.1e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,256,89,0.03,7.44444,km1,18713,2019,18808,132,141,88,57,0.000129901,0.0931289,0.00260675,0,0,0.00136823,0.0791212,0.00660169
Judicious-Increase,16,0-part_128-0.repeats.hgr,256,89,0.03,7.5,km1,37672,2404,37706,251,257,136,126,0.000175271,0.0591423,0.000619822,0,0,0.00141656,0.0474559,0.00601628
Judicious-Increase,16,0-part_128-s.repeats.hgr,256,89,0.03,0,km1,0,0,0,126,126,126,126,0,2.5e-07,0,0,0,0,0,0
Judicious-Increase,16,0-part_128-l.repeats.hgr,256,89,0.03,2.08333,km1,59557,4308,59565,371,411,288,126,0.000260231,0.251143,0.00191045,0,0,0.00160437,0.215156,0.0171555
Judicious-Increase,16,0-part_404-s.repeats.hgr,256,89,0.03,15,km1,88327,1046,88327,402,402,0,402,0.00197615,0.126835,0.00202183,0,0,0.000354331,0.0932539,0.0190513
Judicious-Increase,16,0-part_404-l.repeats.hgr,256,89,0.03,10.8889,km1,126909,7120,126775,761,798,542,402,0.000816243,0.468908,0.00477049,0,0,0.00204804,0.38389,0.0401188
Judicious-Increase,16,0-part_sm_part1_170859.repeats.hgr,256,89,0.03,1.27695,km1,761398,61942,760121,3762,4004,3726,142,0.00171612,7.42474,0.0678013,0,0,1.67919,2.91168,0.916794
Judicious-Increase,16,0-part_sm_part3_31854.repeats.hgr,256,89,0.03,0.24,km1,504471,54806,504329,2707,2808,2681,142,0.00267957,2.65329,0.0680291,0,0,0.227825,1.95469,0.137951
Judicious-Increase,16,0-part_sm_part12_20753.repeats.hgr,256,89,0.03,0.317073,km1,435329,50463,435191,2351,2415,2315,142,0.000585841,2.20933,0.0346808,0,0,0.110078,1.75226,0.124292
Judicious-Increase,16,0-part_sm_part24_11756.repeats.hgr,256,89,0.03,0.23913,km1,335390,38476,335444,1710,1739,1673,142,0.000203431,1.83221,0.0117338,0,0,0.00510891,1.66949,0.0680858
Judicious-Increase,16,0-part_59-s.repeats.hgr,2048,8,0.03,0,km1,0,0,0,57,57,57,57,0,7e-08,0,0,0,0,0,0
Judicious-Increase,16,0-part_59-l.repeats.hgr,2048,8,0.03,9.5,km1,82876,2754,82876,57,57,0,57,0.000435691,1.23046,0.000530291,0,0,0.00406177,1.19616,0.00698616
